ID de respuesta;Fecha de env?o;?ltima p?gina;Lenguaje inicial;Fecha de inicio;Fecha de la ?ltima acci?n;?Cu?l es tu c?digo de participante para este estudio?;?Cu?ntos a?os llevas tecleando de manera regular?;?Cu?ntas horas inviertes al d?a en teclear (en un ordenador/tablet/tel?fono)?;?C?mo aprendiste a teclear?;?Eres m?sico/a?;?Qu? instrumentos tocas?;?Escribes de forma regular con un teclado?;?Qu? equipo? [Ordenador de sobremesa];?Qu? equipo? [Port?til];?Qu? equipo? [Tablet];?Te miras a las manos cuando tecleas?;?Cu?nto tiempo pasas tecleando en un ordenador? (en horas);?Cu?l es el tipo de actividad principal que haces tecleando en el ordenador? [Toma de notas];?Cu?l es el tipo de actividad principal que haces tecleando en el ordenador? [Copiar];?Cu?l es el tipo de actividad principal que haces tecleando en el ordenador? [Componer];?Cu?l es el tipo de actividad principal que haces tecleando en el ordenador? [Email];?Cu?l es el tipo de actividad principal que haces tecleando en el ordenador? [Mensajer?a instant?nea];?Cu?ntos dedos utilizas cuando tecleas?;Selecciona los dedos que utilizas para teclear en el teclado [Mano izquierda - pulgar];Selecciona los dedos que utilizas para teclear en el teclado [Mano izquierda - ?ndice];Selecciona los dedos que utilizas para teclear en el teclado [Mano izquierda - coraz?n];Selecciona los dedos que utilizas para teclear en el teclado [Mano izquierda - anular];Selecciona los dedos que utilizas para teclear en el teclado [Mano izquierda - me?ique];Selecciona los dedos que utilizas para teclear en el teclado [Mano derecha - pulgar];Selecciona los dedos que utilizas para teclear en el teclado [Mano derecha - ?ndice];Selecciona los dedos que utilizas para teclear en el teclado [Mano derecha - coraz?n];Selecciona los dedos que utilizas para teclear en el teclado [Mano derecha - anular];Selecciona los dedos que utilizas para teclear en el teclado [Mano derecha - me?ique];?Cu?nto tiempo inviertes en teclear en el m?vil al d?a? (en horas);?Utilizas un smartphone?;?Durante cu?ntos a?os?;?Qu? tipo de teclado utilizas en tu m?vil?;?Qu? tipo de teclado utilizas en tu m?vil? [Otro];?Cu?ntos dedos utilizas cuando tecleas en el m?vil?;"?Alguna vez utilizas escritura fon?tica (p. ej., ""Salu2"")?";?Cu?nto tiempo inviertes al d?a en escribir a mano? (en horas);?Alg?n comentario adicional sobre tu pr?ctica de escritura (a mano o con tecladoa)?
42;13/09/2023 09:14;5;es;13/09/2023 09:12;13/09/2023 09:14;33154;34;12;Autodidacta;No;;S?;S?;No;No;Rara vez;132;No;No;S?;S?;No;8;No;No;No;S?;No;No;S?;No;No;No;5646;S?;465;QWERTY completo;;132;No;123;
43;28/09/2023 09:45;5;es;28/09/2023 09:41;28/09/2023 09:45;000101 - 9028;4;18;Autodidacta;No;;S?;No;S?;No;Frecuentemente;3;S?;No;No;S?;S?;7;No;S?;S?;S?;No;S?;S?;S?;S?;No;4;S?;10;QWERTY completo;;2;No;1;
44;06/10/2023 08:27;5;es;06/10/2023 08:24;06/10/2023 08:27;11527 - 000201;5;7;Autodidacta;S?;violonchelo;S?;No;S?;No;Frecuentemente;5;No;S?;No;No;No;4;No;S?;S?;No;No;No;S?;S?;No;No;4;S?;8;QWERTY completo;;4;No;1;
45;10/11/2023 13:42;5;es;10/11/2023 13:39;10/11/2023 13:42;9383-010101;10;2;Formaci?n reglada;No;;S?;No;S?;S?;Frecuentemente;2;S?;No;S?;No;No;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;2;S?;8;QWERTY completo;;2;No;2;
46;10/11/2023 15:27;5;es;10/11/2023 15:24;10/11/2023 15:27;11777-02.02.01;8;2;Autodidacta;No;;S?;No;S?;S?;Frecuentemente;2;S?;No;No;S?;No;6;No;S?;No;S?;No;No;S?;No;S?;No;2;S?;10;QWERTY completo;;2;S?;4;
47;10/11/2023 16:40;5;es;10/11/2023 16:37;10/11/2023 16:40;8424-03.01.02;12;7;Autodidacta;No;;S?;S?;S?;No;Rara vez;4;S?;No;No;S?;No;6;No;S?;S?;S?;No;No;S?;S?;S?;No;2;S?;10;QWERTY completo;;2;No;1;
48;16/11/2023 12:04;5;es;16/11/2023 12:01;16/11/2023 12:04;11787 - 040202;13;4;Autodidacta;No;;S?;S?;No;No;Rara vez;3;S?;S?;No;S?;No;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;2;S?;13;QWERTY completo;;2;No;2;Utilizo bastante el teclado tanto para estudiar como para jugar a videojuegos.
49;16/11/2023 13:38;5;es;16/11/2023 13:36;16/11/2023 13:38;8542-050103;12;3;Formaci?n reglada;No;;S?;S?;No;No;Siempre;3;No;No;No;S?;No;2;No;S?;No;No;No;No;S?;No;No;No;2;S?;14;QWERTY completo;;2;S?;1;
50;16/11/2023 16:37;5;es;16/11/2023 16:33;16/11/2023 16:37;11587-060203;5;5;Autodidacta;No;;S?;No;S?;No;Frecuentemente;3;S?;S?;No;No;No;9;No;S?;S?;S?;S?;S?;S?;S?;S?;S?;2;S?;5;Otro (numpad/teclado num?rico);;2;No;2;
51;20/11/2023 09:28;5;es;20/11/2023 09:25;20/11/2023 09:28;11082-070104;4;4;Autodidacta;No;;S?;S?;S?;No;Rara vez;4;S?;S?;No;No;No;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;2;S?;9;QWERTY completo;;2;No;1;
52;21/11/2023 12:04;5;es;21/11/2023 12:01;21/11/2023 12:04;11000-080204;5;3;Autodidacta;S?;Contrabajo, viol?n y piano;S?;No;S?;S?;Frecuentemente;4;S?;No;No;S?;No;8;S?;S?;S?;S?;No;S?;S?;S?;S?;No;6;S?;10;QWERTY completo;;2;No;5;
53;22/11/2023 13:39;5;es;22/11/2023 13:37;22/11/2023 13:39;11893-090101;12;5;Autodidacta;No;;S?;S?;No;No;Nunca;5;S?;No;No;No;No;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;7;S?;10;QWERTY completo;;2;S?;4;
54;23/11/2023 12:42;5;es;23/11/2023 12:38;23/11/2023 12:42;10439-100201;10;3;Autodidacta;No;;S?;No;S?;No;Frecuentemente;1;No;No;No;S?;S?;7;No;S?;S?;S?;No;S?;S?;S?;S?;No;2;S?;9;QWERTY completo;;2;S?;1;
55;27/11/2023 12:15;5;es;27/11/2023 12:11;27/11/2023 12:15;11570-110102;5;2;Autodidacta;S?;Piano;S?;No;S?;No;Siempre;1;S?;No;S?;No;No;7;No;S?;S?;S?;No;No;S?;S?;S?;S?;1;S?;7;QWERTY completo;;2;S?;0;
56;27/11/2023 13:36;5;es;27/11/2023 13:33;27/11/2023 13:36;9754-120202;4;2;Autodidacta;No;;S?;No;S?;No;Siempre;1;S?;S?;No;No;No;2;No;S?;No;No;No;No;S?;No;No;No;1;S?;10;QWERTY completo;;2;No;0;A mano de normal no escribo, pero cuando tengo examen si porque me hago res?menes a mano.
57;27/11/2023 15:16;5;es;27/11/2023 15:13;27/11/2023 15:16;10344-130103;6;6;Autodidacta;No;;S?;No;S?;No;Rara vez;7;S?;No;No;S?;No;8;No;S?;S?;S?;S?;No;S?;S?;S?;S?;3;S?;9;QWERTY completo;;2;S?;1;
58;28/11/2023 13:11;5;es;28/11/2023 13:09;28/11/2023 13:11;11614-140203;0;1;Autodidacta;No;;No;No;No;S?;Siempre;1;S?;No;No;No;No;4;No;S?;S?;No;No;No;S?;S?;No;No;4;S?;6;QWERTY completo;;2;S?;4;
59;28/11/2023 16:07;5;es;28/11/2023 16:03;28/11/2023 16:07;11782-150104;5;4;Autodidacta;No;;S?;No;S?;No;Frecuentemente;3;S?;No;No;No;No;8;No;S?;S?;S?;No;No;S?;S?;No;No;6;S?;8;QWERTY completo;;2;S?;1;
60;29/11/2023 09:19;5;es;29/11/2023 09:14;29/11/2023 09:19;11481-160204;22;8;Formaci?n reglada;S?;saxofon;S?;S?;S?;No;Rara vez;5;S?;S?;No;S?;No;10;No;S?;S?;S?;S?;S?;S?;S?;S?;S?;1;S?;12;QWERTY completo;;2;No;1;
61;30/11/2023 09:21;5;es;30/11/2023 09:18;30/11/2023 09:21;11438-170101;11;5;Autodidacta;No;;S?;No;S?;No;Frecuentemente;2;S?;No;No;No;No;6;S?;S?;S?;No;No;S?;S?;S?;No;No;3;S?;9;QWERTY completo;;2;No;3;
62;30/11/2023 11:35;5;es;30/11/2023 11:31;30/11/2023 11:35;2293-180201;10;5;Autodidacta;No;;No;No;S?;No;Frecuentemente;0;No;No;No;S?;No;4;No;S?;S?;No;No;S?;S?;S?;No;No;5;S?;7;QWERTY completo;;1;No;1;
63;30/11/2023 12:45;5;es;30/11/2023 12:42;30/11/2023 12:45;9818-190102;10;5;Autodidacta;No;;S?;No;S?;No;Frecuentemente;5;S?;No;No;No;No;4;No;S?;S?;No;No;No;S?;S?;No;No;2;S?;5;QWERTY completo;;2;No;2;Me gusta escribir a mano que en teclado
64;30/11/2023 15:45;5;es;30/11/2023 15:40;30/11/2023 15:45;10983-200202;3;6;Autodidacta;No;;S?;No;S?;No;Frecuentemente;6;S?;No;No;No;No;8;No;No;S?;S?;S?;S?;S?;S?;S?;S?;45;S?;8;Otro (numpad/teclado num?rico);;2;S?;2;Dependiendo del d?a o de la tarea suelo escribir m?s horas o menos horas. Pero por lo general a mano tomo ?ltimamente muy pocas notas, suelo utilizar m?s el ordenador
65;01/12/2023 11:17;5;es;01/12/2023 11:14;01/12/2023 11:17;11478-210103;15;1;Formaci?n reglada;S?;clarinete;S?;No;S?;S?;Rara vez;1;No;No;No;S?;No;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;4;S?;12;QWERTY completo;;2;No;0;
66;01/12/2023 13:07;5;es;01/12/2023 13:04;01/12/2023 13:07;10464-220203;12;13;Formaci?n reglada;No;;S?;No;S?;No;Rara vez;6;No;No;No;S?;S?;7;No;S?;S?;S?;No;S?;S?;S?;S?;S?;8;S?;9;QWERTY completo;;2;No;1;
67;01/12/2023 15:04;5;es;01/12/2023 14:59;01/12/2023 15:04;10637-230104;5;7;Autodidacta;No;;S?;No;S?;No;Frecuentemente;5;S?;S?;No;No;S?;9;No;S?;S?;S?;S?;S?;S?;S?;S?;S?;3;S?;14;QWERTY completo;;2;No;1;
68;01/12/2023 16:40;5;es;01/12/2023 16:36;01/12/2023 16:40;10443-240204;4;4;Autodidacta;No;;S?;No;S?;No;Frecuentemente;3;S?;S?;No;S?;S?;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;No;2;S?;14;QWERTY completo;;2;No;0;
69;04/12/2023 12:09;5;es;04/12/2023 12:05;04/12/2023 12:09;11512-250101;9;3;Autodidacta;S?;piano, guitarra y oboe;S?;No;S?;No;Frecuentemente;2;S?;S?;No;S?;S?;6;No;S?;S?;S?;No;No;S?;S?;S?;S?;3;S?;9;QWERTY completo;;2;No;0;Principalmente escribo con teclados y rara vez a mano, solo en momenton puntuales en los que no dispongo de un ordenador, movil o tablet.
70;04/12/2023 14:39;5;es;04/12/2023 14:36;04/12/2023 14:39;11124-260201;10;3;Autodidacta;No;;S?;No;S?;No;Frecuentemente;1;S?;S?;No;No;No;6;No;S?;S?;S?;No;No;S?;S?;S?;No;2;S?;10;QWERTY completo;;2;No;1;
71;04/12/2023 16:05;5;es;04/12/2023 16:02;04/12/2023 16:05;11600-270102;3;5;Autodidacta;No;;S?;No;S?;S?;Frecuentemente;3;S?;S?;No;No;S?;6;S?;S?;S?;No;No;S?;S?;S?;No;No;1;S?;7;QWERTY completo;;2;No;2;
72;04/12/2023 18:16;5;es;04/12/2023 18:12;04/12/2023 18:16;3061-280202;3;7;Autodidacta;No;;S?;S?;No;No;Rara vez;7;S?;No;No;No;No;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;1;S?;20;QWERTY completo;;2;No;1;
73;05/12/2023 09:26;5;es;05/12/2023 09:24;05/12/2023 09:26;11527-;10;8;Autodidacta;S?;violonchelo;S?;No;S?;No;Frecuentemente;6;No;S?;No;No;No;5;No;S?;S?;No;No;No;S?;S?;S?;No;4;S?;10;QWERTY completo;;5;No;1;
74;05/12/2023 11:17;5;es;05/12/2023 11:13;05/12/2023 11:17;2317-300203;17;5;Formaci?n reglada;S?;violonchelo, toqu? el piano unos a?os;S?;S?;S?;No;Nunca;4;S?;No;No;S?;S?;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;2;S?;16;QWERTY completo;;2;No;5;la formaci?n de mecanograf?a fue con clases no regladas, pero no fue de forma autodidacta.
75;05/12/2023 15:12;5;es;05/12/2023 15:09;05/12/2023 15:12;8175-310104;10;5;Autodidacta;No;;S?;S?;S?;S?;Rara vez;5;No;No;No;S?;S?;6;No;S?;S?;S?;S?;No;S?;S?;S?;S?;10;S?;18;QWERTY completo;;2;No;1;
76;05/12/2023 16:45;5;es;05/12/2023 16:42;05/12/2023 16:45;1697-320204;8;8;Formaci?n reglada;No;;S?;S?;No;No;Rara vez;6;S?;S?;No;S?;No;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;1;S?;18;QWERTY completo;;2;No;1;
77;11/12/2023 16:23;5;es;11/12/2023 16:20;11/12/2023 16:23;9039-330101;6;8;Autodidacta;S?;Flauta travesera;S?;S?;S?;No;Frecuentemente;7;No;No;S?;S?;No;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;3;S?;11;QWERTY completo;;2;No;2;
78;12/12/2023 09:13;5;es;12/12/2023 09:09;12/12/2023 09:13;10010-340201;12;4;Autodidacta;No;;S?;No;S?;No;Frecuentemente;3;S?;S?;S?;S?;S?;2;No;S?;No;No;No;No;S?;No;No;No;2;S?;12;QWERTY completo;;2;No;5;no
79;12/12/2023 15:05;5;es;12/12/2023 15:03;12/12/2023 15:05;10415-350102;13;10;Autodidacta;No;;S?;No;S?;No;Rara vez;6;S?;S?;No;No;No;8;No;S?;S?;S?;S?;No;S?;S?;S?;S?;6;S?;8;QWERTY completo;;2;No;2;
80;12/12/2023 17:41;5;es;12/12/2023 17:38;12/12/2023 17:41;6729-360202;22;3;Autodidacta;No;;No;S?;No;No;Frecuentemente;1;No;No;No;S?;No;6;S?;S?;No;No;No;S?;S?;S?;No;No;2;S?;13;QWERTY completo;;2;No;1;
81;13/12/2023 09:30;5;es;13/12/2023 09:28;13/12/2023 09:30;11066-370103;10;2;Autodidacta;No;;S?;No;S?;No;Rara vez;2;S?;S?;No;S?;No;5;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;4;S?;10;QWERTY completo;;2;No;2;
82;13/12/2023 10:53;5;es;13/12/2023 10:51;13/12/2023 10:53;9245-380203;5;2;Autodidacta;No;;S?;No;S?;No;Frecuentemente;0;S?;No;No;S?;No;9;S?;S?;S?;S?;No;S?;S?;S?;S?;S?;2;S?;11;QWERTY completo;;4;S?;0;
83;13/12/2023 14:41;5;es;13/12/2023 14:37;13/12/2023 14:41;11067-390104;15;10;Autodidacta;No;;S?;S?;S?;No;Rara vez;8;S?;No;No;S?;S?;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;2;S?;10;QWERTY completo;;4;No;1;
84;13/12/2023 17:35;5;es;13/12/2023 17:33;13/12/2023 17:35;8819-400204;7;2;Autodidacta;No;;S?;No;S?;No;Rara vez;2;S?;No;No;No;No;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;2;S?;12;QWERTY completo;;3;No;1;
85;14/12/2023 13:34;5;es;14/12/2023 13:32;14/12/2023 13:34;6210-410101;8;5;Autodidacta;S?;piano, guitarra y ukelele;S?;S?;No;No;Rara vez;3;S?;No;No;S?;S?;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;3;S?;8;QWERTY completo;;2;S?;1;
86;16/01/2024 15:33;5;es;16/01/2024 15:30;16/01/2024 15:33;10275-420201;16;4;Autodidacta;No;;S?;No;S?;No;Siempre;4;S?;No;No;No;No;6;No;S?;S?;S?;No;No;S?;S?;S?;No;6;S?;13;QWERTY completo;;2;No;1;
87;18/01/2024 15:39;5;es;18/01/2024 15:36;18/01/2024 15:39;6835-430102;20;2;Autodidacta;No;;S?;S?;No;No;Frecuentemente;1;No;No;No;S?;S?;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;1;S?;10;QWERTY completo;;2;No;5;
88;19/01/2024 14:54;5;es;19/01/2024 14:51;19/01/2024 14:54;10964-440202;7;7;Autodidacta;No;;S?;No;S?;S?;Frecuentemente;3;No;S?;No;S?;No;8;No;S?;S?;S?;S?;No;S?;S?;S?;S?;5;S?;12;QWERTY completo;;2;No;3;En ?poca de examenes puede que estas 3 horas de escritura a mano ascienda a unas 5
89;23/01/2024 17:24;5;es;23/01/2024 17:19;23/01/2024 17:24;7789-450103;13;10;Formaci?n reglada;S?;piano;S?;S?;No;No;Nunca;7;S?;S?;No;No;No;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;1;S?;10;QWERTY completo;;2;No;1;
90;24/01/2024 16:35;5;es;24/01/2024 16:32;24/01/2024 16:35;10942-460203;8;4;Formaci?n reglada;No;;S?;No;S?;No;Frecuentemente;2;S?;No;No;No;No;6;No;S?;S?;No;S?;No;S?;S?;No;S?;2;S?;6;QWERTY completo;;2;No;5;
91;26/01/2024 09:15;5;es;26/01/2024 09:11;26/01/2024 09:15;6020-470104;8;5;Formaci?n reglada;No;;S?;No;S?;No;Rara vez;2;No;No;S?;S?;S?;9;No;S?;S?;S?;S?;S?;S?;S?;S?;S?;1;S?;8;QWERTY completo;;2;S?;5;
92;26/01/2024 11:14;5;es;26/01/2024 11:11;26/01/2024 11:14;10038-480204;18;3;Autodidacta;No;;S?;No;S?;No;Rara vez;2;S?;No;No;S?;S?;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;2;S?;20;QWERTY completo;;2;No;3;
93;26/01/2024 14:12;5;es;26/01/2024 14:09;26/01/2024 14:12;6477-490101;16;10;Autodidacta;No;;S?;S?;S?;No;Rara vez;10;S?;No;No;No;No;10;S?;S?;S?;S?;S?;S?;S?;S?;S?;S?;1;S?;10;QWERTY completo;;2;No;0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
