image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textWelcomeFam.stopped,textBlank500.started,textBlank500.stopped,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,textEndFam.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,38.56878929992672,40.57238349993713,40.57238349993713,41.073842699988745,41.073842699988745,41.073842699988745,space,115.38882959994953,,,,,,,,,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_728.png,pulpo,0,0,0,30,,,165.5666421999922,157.4884754999075,,,,,157.4884754999075,158.62014709995128,158.62014709995128,158.62014709995128,0.05684030009433627,163.01072819996625,165.51011319993995,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h45.40.693.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_19.png,pavo,0,1,1,8,,,174.29789629997686,,,,,,166.04235949995928,167.36336099996697,167.36336099996697,167.36336099996697,0.1143700999673456,171.7421711999923,174.2418785999762,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h45.49.422.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Practice/PICTURE_612.png,rana,0,2,2,32,,,182.85812310001347,,,,,,174.77355799998622,175.83937930001412,175.83937930001412,175.83937930001412,0.024655999965034425,180.306407499942,182.80589889991097,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h45.57.978.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_552.png,manzana,0,3,3,25,,,191.52333489991724,,,,,,183.33809410000686,184.60671510000248,184.60671510000248,184.60671510000248,0.12880989990662783,188.9712044999469,191.47051199991256,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h46.06.645.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_142.png,vaso,0,4,4,2,,,200.26315589994192,,,,,,192.0028221999528,193.35463079996407,193.35463079996407,193.35463079996407,0.12717480002902448,197.71899640001357,200.218364499975,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h46.15.392.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_517.png,cuerda,0,5,5,24,,,208.9553120000055,,,,,,200.75066159991547,202.03182269993704,202.03182269993704,202.03182269993704,0.12157139996998012,206.4002464999212,208.8996557999635,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h46.24.079.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_319.png,vaca,0,6,6,15,,,217.63016229995992,,,,,,209.43193189997692,210.63107439992018,210.63107439992018,210.63107439992018,0.04131290002260357,215.0816037999466,217.58069400000386,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h46.32.759.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_719.png,baño,0,7,7,29,,,226.26243419991806,,,,,,218.11320469994098,219.35558019997552,219.35558019997552,219.35558019997552,0.13233329996000975,223.71274759992957,226.21182709990535,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h46.41.391.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_175.png,pintor,0,8,8,6,,,235.00928090000525,,,,,,226.74409399996512,228.08768949995283,228.08768949995283,228.08768949995283,0.11970949999522418,232.46100799995475,234.9600401999196,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h46.50.137.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_242.png,cartero,0,9,9,11,,,243.65170549997129,,,,,,235.49210849998053,236.7301417000126,236.7301417000126,236.7301417000126,0.12719279993325472,241.09191129996907,243.59130209998693,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h46.58.767.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_30.png,granja,0,10,10,14,,,252.1769012999721,,,,,,244.12350439990405,245.25403529999312,245.25403529999312,245.25403529999312,0.12336849991697818,249.64115419995505,,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h47.07.303.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Practice/PICTURE_570.png,toro,0,11,11,34,,,260.8218065999681,,,,,,252.65482549997978,253.8806968999561,253.8806968999561,253.8806968999561,0.100744100054726,258.27101069991477,260.77047929994296,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h47.15.948.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_264.png,mano,0,12,12,12,,,269.4648126999382,,,,,,261.30254489998333,262.53261539991945,262.53261539991945,262.53261539991945,0.12313019996508956,266.90240439993795,269.4017266998999,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h47.24.582.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_16.png,cazador,0,13,13,4,,,278.2110294000013,,,,,,269.9337710000109,271.301650499925,271.301650499925,271.301650499925,0.12752830004319549,275.666975799948,278.1663156999275,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h47.33.341.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,0,14,14,0,,,286.9226606999291,,,,,,278.69854559993837,279.99584519991186,279.99584519991186,279.99584519991186,0.12386549997609109,284.36514319991693,286.86422699992545,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h47.42.044.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Practice/PICTURE_614.png,reina,0,15,15,36,,,295.54421749990433,,,,,,287.3963999999687,288.52409560000524,288.52409560000524,288.52409560000524,0.019477900001220405,292.99610469990876,295.4956515999511,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h47.50.672.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_48.png,bombero,0,16,16,22,,,304.1395198999671,,,,,,296.0277364999056,297.22187239991035,297.22187239991035,297.22187239991035,0.11889619997236878,301.5940198999597,304.09379720001016,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h47.59.269.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_446.png,cerdo,0,17,17,20,,,312.77024209999945,,,,,,304.6256234999746,305.8460818999447,305.8460818999447,305.8460818999447,0.1303333000978455,310.20861299999524,312.70798609999474,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h48.07.886.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_687.png,camisa,0,18,18,28,,,321.4379053999437,,,,,,313.2402707999572,314.5222439999925,314.5222439999925,314.5222439999925,0.12539589998777956,318.88987559999805,321.38918659999035,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h48.16.561.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_320.png,iglesia,0,19,19,16,,,330.1546034999192,,,,,,321.9212888999609,323.1477398999268,323.1477398999268,323.1477398999268,0.03606410010252148,327.6043922000099,330.1037991999183,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h48.25.276.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_271.png,conejo,0,20,20,13,,,338.7277560000075,,,,,,330.63609249994624,331.8196327999467,331.8196327999467,331.8196327999467,0.12557209993246943,336.1857535999734,338.68547349993605,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h48.33.858.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_381.png,fresa,0,21,21,19,,,347.4024451998994,,,,,,339.2172487999778,340.48318009998184,340.48318009998184,340.48318009998184,0.12555440003052354,344.85007419995964,347.3496543999063,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h48.42.522.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Practice/PICTURE_12.png,sirena,0,22,22,38,,,356.14502729999367,,,,,,347.88189829990733,349.2065434999531,349.2065434999531,349.2065434999531,0.09880719997454435,353.59816609998234,356.097755099996,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h48.51.273.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_8.png,pierna,0,23,23,31,,,364.77223239990417,,,,,,356.629854699946,357.84372679993976,357.84372679993976,357.84372679993976,0.12371660000644624,362.21280559990555,364.71213969995733,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h48.59.894.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_338.png,regalo,0,24,24,17,,,373.56357459991705,,,,,,365.2443630999187,366.64436729997396,366.64436729997396,366.64436729997396,0.1267957000527531,371.0105275999522,373.5100338999182,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h49.08.684.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_464.png,goma,0,25,25,21,,,382.2213855999289,,,,,,374.04201599990483,375.3110011999961,375.3110011999961,375.3110011999961,0.12828299996908754,379.67526029993314,382.1745813000016,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h49.17.350.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_152.png,caracol,0,26,26,3,,,390.8658224999672,,,,,,382.7068874000106,383.9486867999658,383.9486867999658,383.9486867999658,0.11827069998253137,388.323182299966,390.8229122000048,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h49.25.996.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Practice/PICTURE_599.png,nube,0,27,27,33,,,399.483593699988,,,,,,391.3546922999667,392.5420564999804,392.5420564999804,392.5420564999804,0.09636890003457665,396.93769990000874,399.43703209992964,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h49.34.611.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_610.png,miel,0,28,28,27,,,408.16889540001284,,,,,,399.9693866999587,401.25311229994986,401.25311229994986,401.25311229994986,0.12707359995692968,405.61895449995063,408.118399299914,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h49.43.291.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_498.png,taza,0,29,29,23,,,416.99489440000616,,,,,,408.6506353999721,409.95353679999243,409.95353679999243,409.95353679999243,0.012221899931319058,414.4334876999492,416.9329437999986,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h49.52.113.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_235.png,aguja,0,30,30,10,,,425.5795158999972,,,,,,417.4652532999171,418.67070849996526,418.67070849996526,418.67070849996526,0.12996579997707158,423.03145169990603,425.5310157999629,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h50.00.708.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_35.png,oreja,0,31,31,18,,,434.38477529992815,,,,,,426.06307399994694,427.45365529996343,427.45365529996343,427.45365529996343,0.1161446999758482,431.82935000001453,434.32872919994406,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h50.09.502.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Practice/PICTURE_110.png,mesa,0,32,32,37,,,442.94304749998264,,,,,,434.8610272000078,436.0352056999691,436.0352056999691,436.0352056999691,0.13231210003141314,440.39405939995777,442.8936197999865,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h50.18.072.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_199.png,falda,0,33,33,9,,,451.5313099999912,,,,,,443.4255143000046,444.60155199992005,444.60155199992005,444.60155199992005,0.11946790001820773,448.9753528999863,451.4746149999555,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h50.26.650.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_576.png,guante,0,34,34,26,,,460.34149059990887,,,,,,452.0072701999452,453.4128283999162,453.4128283999162,453.4128283999162,0.1141086999559775,457.7898062999593,460.2891144999303,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h50.35.461.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_178.png,puente,0,35,35,7,,,468.88919799996074,,,,,,460.82148539996706,461.9712463999167,461.9712463999167,461.9712463999167,0.1264394000172615,466.337724299985,468.83709069993347,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h50.44.010.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_169.png,espalda,0,36,36,5,,,477.61309219989926,,,,,,469.3693127000006,470.6245981999673,470.6245981999673,470.6245981999673,0.047496500075794756,475.06900639995,477.56843989994377,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h50.52.741.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Fam/PICTURE_135.png,traje,0,37,37,1,,,486.2432358999504,,,,,,478.1005991999991,479.32330920000095,479.32330920000095,479.32330920000095,0.11594620009418577,483.70018829999026,486.1995852999389,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h51.01.372.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
REPSWITCH1_Practice/PICTURE_733.png,gafas,0,38,38,35,,,494.8257309999317,,,,,,486.731810499914,487.89637579990085,487.89637579990085,487.89637579990085,0.10633179999422282,492.28160250000656,494.7808921999531,D:\GitHub\experiment1\data/15_Fam_2023-06-27_15h43.26.428_micFam_recorded\recording_micFam_2023-06-27_15h51.09.954.wav,,15,001,2023-06-27_15h43.26.428,Fam,2022.2.4,60.08958158677566,
,,,,,,,,495.31306279997807,,,,,,,,,,,,,,495.8133208999643,,,,,,,
